gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,overall_avg
female,group d,bachelor's degree,standard,completed,68.0,75.0,81.0,74.67
male,group e,associate's degree,free/reduced,completed,100.0,100.0,93.0,97.67
male,group a,some high school,standard,completed,62.0,67.0,69.0,66.0
male,group a,bachelor's degree,standard,none,77.0,67.0,68.0,70.67
female,group b,associate's degree,standard,completed,59.0,70.0,66.0,65.0
male,group d,bachelor's degree,standard,none,54.0,49.0,47.0,50.0
male,group d,some high school,standard,none,62.0,67.0,61.0,63.33
female,group c,some college,standard,completed,70.0,89.0,88.0,82.33
female,group e,high school,free/reduced,completed,66.0,74.0,78.0,72.67
male,group b,some college,free/reduced,none,60.0,60.0,60.0,60.0
female,group b,associate's degree,standard,completed,61.0,86.0,87.0,78.0
male,group d,associate's degree,free/reduced,none,66.0,62.0,64.0,64.0
male,group b,associate's degree,free/reduced,completed,82.0,78.0,74.0,78.0
female,group e,some college,free/reduced,completed,75.0,88.0,85.0,82.67
male,group b,master's degree,free/reduced,none,49.0,53.0,52.0,51.33
male,group c,high school,standard,none,52.0,53.0,49.0,51.33
female,group e,master's degree,standard,none,81.0,92.0,91.0,88.0
female,group c,bachelor's degree,standard,completed,96.0,100.0,100.0,98.67
male,group c,high school,free/reduced,completed,53.0,51.0,51.0,51.67
female,group b,master's degree,free/reduced,completed,58.0,76.0,78.0,70.67
female,group b,high school,standard,completed,68.0,83.0,78.0,76.33
female,group c,some college,free/reduced,completed,67.0,75.0,70.0,70.67
male,group a,high school,standard,completed,72.0,73.0,74.0,73.0
male,group e,some high school,standard,none,94.0,88.0,78.0,86.67
female,group d,some college,standard,none,79.0,86.0,81.0,82.0
female,group c,associate's degree,standard,none,63.0,67.0,70.0,66.67
female,group c,bachelor's degree,free/reduced,completed,43.0,51.0,54.0,49.33
female,group c,master's degree,standard,completed,81.0,91.0,87.0,86.33
female,group b,high school,free/reduced,completed,46.0,54.0,58.0,52.67
female,group c,associate's degree,standard,completed,71.0,77.0,77.0,75.0
female,group b,master's degree,free/reduced,completed,52.0,70.0,62.0,61.33
female,group d,some high school,standard,completed,97.0,100.0,100.0,99.0
male,group c,master's degree,free/reduced,completed,62.0,68.0,75.0,68.33
female,group c,some college,free/reduced,none,46.0,64.0,66.0,58.67
female,group e,high school,standard,none,50.0,50.0,47.0,49.0
female,group d,associate's degree,standard,none,65.0,69.0,70.0,68.0
male,group c,some high school,free/reduced,completed,45.0,52.0,49.0,48.67
male,group c,associate's degree,free/reduced,completed,65.0,67.0,65.0,65.67
male,group e,high school,standard,none,80.0,76.0,65.0,73.67
male,group d,some high school,standard,completed,62.0,66.0,68.0,65.33
male,group b,some high school,free/reduced,none,48.0,52.0,45.0,48.33
female,group c,bachelor's degree,standard,none,77.0,88.0,87.0,84.0
female,group e,associate's degree,standard,none,66.0,65.0,69.0,66.67
male,group d,some college,standard,completed,76.0,83.0,79.0,79.33
female,group b,some high school,standard,none,62.0,64.0,66.0,64.0
male,group d,some college,standard,completed,77.0,62.0,62.0,67.0
female,group c,master's degree,standard,completed,69.0,84.0,85.0,79.33
male,group d,associate's degree,standard,none,61.0,55.0,52.0,56.0
male,group c,some high school,free/reduced,completed,59.0,69.0,65.0,64.33
male,group e,high school,free/reduced,none,55.0,56.0,51.0,54.0
female,group b,some college,free/reduced,none,45.0,53.0,55.0,51.0
female,group b,bachelor's degree,free/reduced,none,78.0,79.0,76.0,77.67
female,group c,associate's degree,standard,completed,67.0,84.0,86.0,79.0
female,group d,some college,free/reduced,none,65.0,81.0,77.0,74.33
male,group c,associate's degree,standard,none,69.0,77.0,69.0,71.67
female,group b,associate's degree,standard,none,57.0,69.0,68.0,64.67
male,group c,some college,standard,none,59.0,41.0,42.0,47.33
male,group d,some high school,standard,completed,74.0,71.0,78.0,74.33
male,group e,bachelor's degree,standard,none,82.0,62.0,62.0,68.67
male,group e,high school,standard,completed,81.0,80.0,76.0,79.0
female,group b,some college,free/reduced,none,74.0,81.0,76.0,77.0
female,group b,some college,free/reduced,none,58.0,61.0,66.0,61.67
male,group d,some high school,free/reduced,completed,80.0,79.0,79.0,79.33
male,group c,some college,free/reduced,none,35.0,28.0,27.0,30.0
female,group c,high school,free/reduced,none,42.0,62.0,60.0,54.67
male,group c,associate's degree,free/reduced,completed,60.0,51.0,56.0,55.67
male,group e,high school,standard,completed,87.0,91.0,81.0,86.33
male,group b,some high school,standard,completed,84.0,83.0,75.0,80.67
female,group e,associate's degree,free/reduced,completed,83.0,86.0,88.0,85.67
female,group c,high school,free/reduced,none,34.0,42.0,39.0,38.33
male,group b,high school,free/reduced,none,66.0,77.0,70.0,71.0
male,group b,some high school,standard,completed,61.0,56.0,56.0,57.67
female,group d,high school,standard,completed,56.0,68.0,74.0,66.0
male,group b,associate's degree,standard,none,87.0,85.0,73.0,81.67
female,group c,some high school,free/reduced,none,55.0,65.0,62.0,60.67
male,group d,some high school,standard,none,86.0,80.0,75.0,80.33
female,group b,associate's degree,standard,completed,52.0,66.0,73.0,63.67
female,group e,master's degree,free/reduced,none,45.0,56.0,54.0,51.67
female,group c,some college,standard,none,72.0,72.0,71.0,71.67
male,group d,high school,standard,none,57.0,50.0,54.0,53.67
male,group a,some high school,free/reduced,none,68.0,72.0,64.0,68.0
female,group c,some college,standard,completed,88.0,95.0,94.0,92.33
male,group d,some college,standard,none,76.0,64.0,66.0,68.67
male,group c,associate's degree,standard,none,46.0,43.0,42.0,43.67
female,group b,bachelor's degree,standard,none,67.0,86.0,83.0,78.67
male,group e,some high school,standard,none,92.0,87.0,78.0,85.67
male,group c,bachelor's degree,standard,completed,83.0,82.0,84.0,83.0
male,group d,associate's degree,standard,none,80.0,75.0,77.0,77.33
male,group d,bachelor's degree,free/reduced,none,63.0,66.0,67.0,65.33
female,group d,some high school,standard,completed,64.0,60.0,74.0,66.0
male,group b,some college,standard,none,54.0,52.0,51.0,52.33
male,group c,associate's degree,standard,none,84.0,80.0,80.0,81.33
male,group d,high school,free/reduced,completed,73.0,68.0,66.0,69.0
female,group e,bachelor's degree,standard,none,80.0,83.0,83.0,82.0
female,group d,high school,standard,none,56.0,52.0,55.0,54.33
male,group e,some college,standard,none,59.0,51.0,43.0,51.0
male,group d,some high school,standard,none,75.0,74.0,69.0,72.67
male,group c,associate's degree,standard,none,85.0,76.0,71.0,77.33
male,group e,associate's degree,standard,none,89.0,76.0,74.0,79.67
female,group b,high school,standard,completed,58.0,70.0,68.0,65.33
female,group b,high school,standard,none,65.0,64.0,62.0,63.67
male,group c,high school,standard,none,68.0,60.0,53.0,60.33
male,group a,some high school,standard,completed,47.0,49.0,49.0,48.33
female,group d,some college,free/reduced,none,71.0,83.0,83.0,79.0
female,group b,some high school,standard,completed,60.0,70.0,70.0,66.67
male,group d,master's degree,standard,none,80.0,80.0,72.0,77.33
male,group d,high school,standard,none,54.0,52.0,52.0,52.67
female,group e,some college,standard,none,62.0,73.0,70.0,68.33
female,group c,associate's degree,free/reduced,none,64.0,73.0,68.0,68.33
male,group c,associate's degree,standard,completed,78.0,77.0,77.0,77.33
female,group b,some college,standard,none,70.0,75.0,78.0,74.33
female,group c,master's degree,free/reduced,completed,65.0,81.0,81.0,75.67
female,group c,some high school,free/reduced,completed,64.0,79.0,77.0,73.33
male,group c,some college,standard,completed,79.0,79.0,78.0,78.67
female,group c,some high school,free/reduced,none,44.0,50.0,51.0,48.33
female,group e,high school,standard,none,99.0,93.0,90.0,94.0
male,group d,high school,standard,none,76.0,73.0,68.0,72.33
male,group d,some high school,free/reduced,none,59.0,42.0,41.0,47.33
female,group c,bachelor's degree,standard,none,63.0,75.0,81.0,73.0
female,group d,high school,standard,none,69.0,72.0,77.0,72.67
female,group d,associate's degree,standard,completed,88.0,92.0,95.0,91.67
female,group e,some college,free/reduced,none,71.0,76.0,70.0,72.33
male,group c,bachelor's degree,standard,none,69.0,63.0,61.0,64.33
male,group c,some college,standard,none,58.0,49.0,42.0,49.67
female,group d,associate's degree,free/reduced,none,47.0,53.0,58.0,52.67
female,group d,some college,standard,none,65.0,70.0,71.0,68.67
male,group b,some college,standard,completed,88.0,85.0,76.0,83.0
male,group c,bachelor's degree,standard,none,83.0,78.0,73.0,78.0
female,group c,some high school,standard,completed,85.0,92.0,93.0,90.0
female,group e,high school,standard,completed,59.0,63.0,75.0,65.67
female,group c,some high school,free/reduced,none,65.0,86.0,80.0,77.0
male,group b,bachelor's degree,free/reduced,none,73.0,56.0,57.0,62.0
male,group d,high school,standard,none,53.0,52.0,42.0,49.0
male,group d,high school,standard,none,45.0,48.0,46.0,46.33
female,group d,bachelor's degree,free/reduced,none,73.0,79.0,84.0,78.67
female,group d,some college,free/reduced,completed,70.0,78.0,78.0,75.33
female,group b,some high school,standard,none,37.0,46.0,46.0,43.0
male,group b,associate's degree,standard,completed,81.0,82.0,82.0,81.67
male,group e,associate's degree,standard,completed,97.0,82.0,88.0,89.0
female,group b,some high school,standard,none,67.0,89.0,82.0,79.33
male,group b,bachelor's degree,free/reduced,none,88.0,75.0,76.0,79.67
male,group e,some high school,standard,completed,77.0,76.0,77.0,76.67
male,group c,associate's degree,standard,none,76.0,70.0,68.0,71.33
male,group d,some high school,standard,none,86.0,73.0,70.0,76.33
male,group c,some high school,standard,completed,63.0,60.0,57.0,60.0
female,group e,bachelor's degree,standard,none,65.0,73.0,75.0,71.0
male,group d,high school,free/reduced,completed,78.0,77.0,80.0,78.33
male,group b,associate's degree,free/reduced,none,67.0,62.0,60.0,63.0
male,group a,some high school,standard,completed,46.0,41.0,43.0,43.33
male,group e,associate's degree,standard,completed,71.0,74.0,68.0,71.0
male,group c,high school,free/reduced,completed,40.0,46.0,50.0,45.33
male,group d,associate's degree,free/reduced,none,90.0,87.0,75.0,84.0
male,group a,some college,free/reduced,completed,81.0,78.0,81.0,80.0
male,group d,some high school,free/reduced,none,56.0,54.0,52.0,54.0
female,group c,associate's degree,standard,completed,67.0,84.0,81.0,77.33
male,group b,associate's degree,standard,none,80.0,76.0,64.0,73.33
female,group c,associate's degree,standard,completed,74.0,75.0,83.0,77.33
male,group a,some college,standard,none,69.0,67.0,69.0,68.33
male,group e,some college,standard,completed,99.0,87.0,81.0,89.0
male,group c,some high school,standard,none,51.0,52.0,44.0,49.0
female,group b,associate's degree,free/reduced,none,53.0,71.0,67.0,63.67
female,group d,high school,free/reduced,none,49.0,57.0,52.0,52.67
female,group b,associate's degree,standard,none,73.0,76.0,80.0,76.33
male,group b,bachelor's degree,standard,none,66.0,60.0,57.0,61.0
male,group d,bachelor's degree,standard,completed,67.0,61.0,68.0,65.33
female,group c,associate's degree,free/reduced,completed,68.0,67.0,69.0,68.0
female,group c,bachelor's degree,standard,completed,59.0,64.0,75.0,66.0
male,group c,high school,standard,none,71.0,66.0,65.0,67.33
female,group d,master's degree,standard,completed,77.0,82.0,91.0,83.33
male,group c,associate's degree,standard,none,83.0,72.0,78.0,77.67
male,group b,bachelor's degree,standard,none,63.0,71.0,69.0,67.67
female,group d,associate's degree,free/reduced,none,56.0,65.0,63.0,61.33
female,group c,high school,free/reduced,completed,67.0,79.0,84.0,76.67
female,group e,high school,standard,none,75.0,86.0,79.0,80.0
female,group c,some college,standard,none,71.0,81.0,80.0,77.33
female,group c,some high school,free/reduced,none,43.0,53.0,53.0,49.67
female,group c,high school,free/reduced,none,41.0,46.0,43.0,43.33
female,group c,some college,standard,none,82.0,90.0,94.0,88.67
male,group c,some college,standard,none,61.0,61.0,62.0,61.33
male,group a,some college,free/reduced,none,28.0,23.0,19.0,23.33
male,group c,associate's degree,standard,completed,82.0,75.0,77.0,78.0
female,group b,some high school,standard,none,41.0,55.0,51.0,49.0
male,group c,high school,standard,none,71.0,60.0,61.0,64.0
male,group c,associate's degree,standard,none,47.0,37.0,35.0,39.67
male,group e,associate's degree,standard,completed,62.0,56.0,53.0,57.0
male,group b,associate's degree,standard,none,90.0,78.0,81.0,83.0
female,group c,bachelor's degree,standard,none,83.0,93.0,95.0,90.33
female,group b,some college,free/reduced,none,61.0,68.0,66.0,65.0
male,group d,some high school,standard,completed,76.0,70.0,69.0,71.67
male,group c,associate's degree,standard,none,49.0,51.0,43.0,47.67
female,group b,some high school,free/reduced,none,24.0,38.0,27.0,29.67
female,group d,some high school,free/reduced,completed,35.0,55.0,60.0,50.0
male,group c,high school,free/reduced,none,58.0,61.0,52.0,57.0
female,group c,high school,standard,none,61.0,73.0,63.0,65.67
female,group b,high school,standard,completed,69.0,76.0,74.0,73.0
male,group d,associate's degree,standard,completed,67.0,72.0,67.0,68.67
male,group d,some college,standard,none,79.0,73.0,67.0,73.0
female,group c,high school,standard,none,72.0,80.0,75.0,75.67
male,group b,some college,standard,none,62.0,61.0,57.0,60.0
female,group c,bachelor's degree,standard,completed,77.0,94.0,95.0,88.67
male,group d,high school,free/reduced,none,75.0,74.0,66.0,71.67
male,group e,associate's degree,standard,none,87.0,74.0,76.0,79.0
female,group b,bachelor's degree,standard,none,52.0,65.0,69.0,62.0
male,group e,some college,standard,none,66.0,57.0,52.0,58.33
female,group c,some college,standard,completed,63.0,78.0,80.0,73.67
female,group c,associate's degree,standard,none,46.0,58.0,57.0,53.67
female,group c,some college,standard,none,59.0,71.0,70.0,66.67
female,group b,bachelor's degree,standard,none,61.0,72.0,70.0,67.67
male,group a,associate's degree,standard,none,63.0,61.0,61.0,61.67
female,group c,some college,free/reduced,completed,42.0,66.0,69.0,59.0
male,group d,some college,free/reduced,none,59.0,62.0,61.0,60.67
female,group d,some college,standard,none,80.0,90.0,89.0,86.33
female,group b,high school,standard,none,58.0,62.0,59.0,59.67
male,group b,some high school,standard,completed,85.0,84.0,78.0,82.33
female,group c,some college,standard,none,52.0,58.0,58.0,56.0
female,group d,some high school,free/reduced,none,27.0,34.0,32.0,31.0
male,group c,some college,standard,none,59.0,60.0,58.0,59.0
male,group a,bachelor's degree,free/reduced,completed,49.0,58.0,60.0,55.67
male,group c,high school,standard,completed,69.0,58.0,53.0,60.0
male,group c,bachelor's degree,free/reduced,none,61.0,66.0,61.0,62.67
female,group a,some high school,free/reduced,none,44.0,64.0,58.0,55.33
female,group d,some high school,standard,none,73.0,84.0,85.0,80.67
male,group e,some college,standard,none,84.0,77.0,71.0,77.33
female,group c,some college,free/reduced,completed,45.0,73.0,70.0,62.67
male,group d,some high school,standard,none,74.0,74.0,72.0,73.33
female,group d,some college,standard,completed,82.0,97.0,96.0,91.67
female,group d,bachelor's degree,standard,none,59.0,70.0,73.0,67.33
male,group e,associate's degree,free/reduced,none,46.0,43.0,41.0,43.33
female,group d,some high school,standard,none,80.0,90.0,82.0,84.0
female,group d,master's degree,free/reduced,completed,85.0,95.0,100.0,93.33
female,group a,some high school,standard,none,71.0,83.0,77.0,77.0
male,group a,bachelor's degree,standard,none,66.0,64.0,62.0,64.0
female,group b,associate's degree,standard,none,80.0,86.0,83.0,83.0
male,group c,associate's degree,standard,completed,87.0,100.0,95.0,94.0
male,group c,master's degree,free/reduced,none,79.0,81.0,71.0,77.0
female,group e,some high school,free/reduced,none,38.0,49.0,45.0,44.0
female,group a,some high school,free/reduced,none,38.0,43.0,43.0,41.33
female,group e,some college,standard,none,67.0,76.0,75.0,72.67
female,group e,bachelor's degree,standard,none,64.0,73.0,70.0,69.0
female,group c,associate's degree,free/reduced,none,57.0,78.0,67.0,67.33
female,group d,high school,standard,none,62.0,64.0,64.0,63.33
male,group d,master's degree,standard,none,73.0,70.0,75.0,72.67
male,group e,some high school,free/reduced,completed,73.0,67.0,59.0,66.33
female,group d,some college,standard,none,77.0,68.0,77.0,74.0
male,group e,some college,standard,none,76.0,67.0,67.0,70.0
male,group c,associate's degree,standard,completed,57.0,54.0,56.0,55.67
female,group c,some high school,standard,completed,65.0,74.0,77.0,72.0
male,group a,high school,free/reduced,none,48.0,45.0,41.0,44.67
female,group b,high school,free/reduced,none,50.0,67.0,63.0,60.0
female,group c,associate's degree,standard,none,85.0,89.0,95.0,89.67
male,group b,some high school,standard,none,74.0,63.0,57.0,64.67
male,group d,some high school,standard,none,60.0,59.0,54.0,57.67
female,group c,some high school,standard,completed,59.0,54.0,67.0,60.0
male,group a,some college,standard,none,53.0,43.0,43.0,46.33
female,group a,some college,free/reduced,none,49.0,65.0,55.0,56.33
female,group d,high school,standard,completed,88.0,99.0,100.0,95.67
female,group c,high school,standard,none,54.0,59.0,62.0,58.33
female,group c,some high school,standard,none,63.0,73.0,68.0,68.0
male,group b,associate's degree,standard,completed,65.0,65.0,63.0,64.33
female,group b,associate's degree,standard,none,82.0,80.0,77.0,79.67
female,group d,high school,free/reduced,completed,52.0,57.0,56.0,55.0
male,group d,associate's degree,standard,completed,87.0,84.0,85.0,85.33
female,group d,master's degree,standard,completed,70.0,71.0,74.0,71.67
male,group e,some college,standard,completed,84.0,83.0,78.0,81.67
male,group d,associate's degree,standard,none,71.0,66.0,60.0,65.67
male,group b,some high school,standard,completed,63.0,67.0,67.0,65.67
female,group c,bachelor's degree,free/reduced,completed,51.0,72.0,79.0,67.33
male,group e,high school,standard,none,84.0,73.0,69.0,75.33
male,group c,bachelor's degree,standard,completed,71.0,74.0,68.0,71.0
male,group c,associate's degree,standard,none,74.0,73.0,67.0,71.33
male,group d,some college,standard,none,68.0,59.0,62.0,63.0
male,group e,high school,free/reduced,completed,57.0,56.0,54.0,55.67
female,group c,associate's degree,free/reduced,completed,82.0,93.0,93.0,89.33
female,group d,high school,standard,completed,57.0,58.0,64.0,59.67
female,group d,master's degree,free/reduced,completed,47.0,58.0,67.0,57.33
female,group a,some high school,standard,completed,59.0,85.0,80.0,74.67
male,group b,some college,free/reduced,none,41.0,39.0,34.0,38.0
female,group c,some college,free/reduced,none,62.0,67.0,62.0,63.67
male,group c,bachelor's degree,standard,none,86.0,83.0,86.0,85.0
male,group c,some high school,free/reduced,none,69.0,71.0,65.0,68.33
male,group a,some high school,free/reduced,none,65.0,59.0,53.0,59.0
male,group c,some high school,free/reduced,none,68.0,63.0,54.0,61.67
male,group c,associate's degree,free/reduced,none,64.0,66.0,59.0,63.0
female,group c,high school,standard,none,61.0,72.0,70.0,67.67
male,group c,high school,standard,none,61.0,56.0,55.0,57.33
female,group a,some high school,free/reduced,none,47.0,59.0,50.0,52.0
